Product_Name,Product_ID,Category,Cost_Price,Selling_Price,Units_Sold,Revenue,Profit_Loss_Amount,Profit_Loss_Status
Winter Jacket,P031,Home & Kitchen,264,318,3,954,162,Profit
Casual Sneakers,P033,Sports,239,433,5,2165,970,Profit
Sunglasses UV400,P035,Home & Kitchen,262,282,6,1692,120,Profit
Microwave Oven,P036,Books,257,281,2,562,48,Profit
Refrigerator 300L,P037,Home & Kitchen,286,447,4,1788,644,Profit
Mixer Grinder,P038,Books,387,509,3,1527,366,Profit
Electric Kettle,P039,Electronics,416,462,5,2310,230,Profit
Induction Cooktop,P040,Clothing,102,258,8,2064,1248,Profit
Cricket Bat,P041,Sports,329,363,4,1452,136,Profit
Badminton Racket,P042,Electronics,459,568,1,568,109,Profit
Dumbbell Set,P043,Sports,266,327,3,981,183,Profit
Science Textbook,P046,Electronics,429,511,2,1022,164,Profit
History Encyclopedia,P047,Clothing,90,205,4,820,460,Profit
Math Workbook,P048,Books,206,277,1,277,71,Profit
Language Learning Book,P049,Clothing,64,179,5,895,575,Profit
Travel Guide Europe,P050,Sports,350,501,3,1503,453,Profit
Laptop Pro 15,P002,Books,416,524,4,2096,432,Profit
Bluetooth Speaker,P003,Home & Kitchen,493,583,1,583,90,Profit
LED TV 42inch,P004,Books,477,505,6,3030,168,Profit
Wireless Earbuds,P005,Books,313,420,3,1260,321,Profit
Men's Cotton Shirt,P006,Clothing,480,628,1,628,148,Profit
Women's Denim Jacket,P007,Home & Kitchen,84,239,1,239,155,Profit
Sports Watch,P009,Home & Kitchen,130,288,3,864,474,Profit
Backpack Travel,P010,Books,469,569,2,1138,200,Profit
Ceramic Dinner Set,P011,Sports,99,254,4,1016,620,Profit
Non-stick Frying Pan,P012,Home & Kitchen,409,591,5,2955,910,Profit
Vacuum Cleaner,P013,Books,437,619,1,619,182,Profit
Table Lamp,P015,Sports,439,581,5,2905,710,Profit
Yoga Mat,P016,Clothing,103,127,5,635,120,Profit
Tennis Racket,P017,Sports,155,215,1,215,60,Profit
Mountain Bicycle,P019,Electronics,359,513,2,1026,308,Profit
Camping Tent,P020,Sports,240,331,2,662,182,Profit
Fiction Novel A,P021,Clothing,451,482,2,964,62,Profit
Fiction Novel B,P022,Books,267,448,6,2688,1086,Profit
Cookbook Deluxe,P023,Sports,93,145,6,870,312,Profit
Self-help Guide,P024,Electronics,211,278,5,1390,335,Profit
Children's Story Book,P025,Electronics,251,421,5,2105,850,Profit
Gaming Console Z,P027,Home & Kitchen,319,375,2,750,112,Profit
Wireless Mouse,P028,Clothing,400,518,5,2590,590,Profit
Mechanical Keyboard,P029,Sports,353,544,5,2720,955,Profit
External Hard Drive,P030,Sports,320,443,1,443,123,Profit
Winter Jacket,P031,Home & Kitchen,264,318,4,1272,216,Profit
Formal Trousers,P032,Sports,301,421,3,1263,360,Profit
Casual Sneakers,P033,Sports,239,433,2,866,388,Profit
Leather Belt,P034,Electronics,345,495,2,990,300,Profit
Sunglasses UV400,P035,Home & Kitchen,262,282,2,564,40,Profit
Microwave Oven,P036,Books,257,281,6,1686,144,Profit
Refrigerator 300L,P037,Home & Kitchen,286,447,4,1788,644,Profit
Mixer Grinder,P038,Books,387,509,1,509,122,Profit
Electric Kettle,P039,Electronics,416,462,1,462,46,Profit
Induction Cooktop,P040,Clothing,102,258,1,258,156,Profit
Cricket Bat,P041,Sports,329,363,5,1815,170,Profit
Badminton Racket,P042,Electronics,459,568,3,1704,327,Profit
Dumbbell Set,P043,Sports,266,327,1,327,61,Profit
Treadmill Pro,P044,Clothing,301,444,3,1332,429,Profit
Jump Rope,P045,Clothing,237,435,6,2610,1188,Profit
Science Textbook,P046,Electronics,429,511,2,1022,164,Profit
History Encyclopedia,P047,Clothing,90,205,5,1025,575,Profit
Math Workbook,P048,Books,206,277,2,554,142,Profit
Language Learning Book,P049,Clothing,64,179,1,179,115,Profit
Travel Guide Europe,P050,Sports,350,501,7,3507,1057,Profit
Smartphone X1,P001,Sports,141,225,8,1800,672,Profit
Bluetooth Speaker,P003,Home & Kitchen,493,583,3,1749,270,Profit
LED TV 42inch,P004,Books,477,505,6,3030,168,Profit
Wireless Earbuds,P005,Books,313,420,1,420,107,Profit
Men's Cotton Shirt,P006,Clothing,480,628,9,5652,1332,Profit
Women's Denim Jacket,P007,Home & Kitchen,84,239,3,717,465,Profit
Running Shoes,P008,Home & Kitchen,255,337,3,1011,246,Profit
Sports Watch,P009,Home & Kitchen,130,288,6,1728,948,Profit
Backpack Travel,P010,Books,469,569,2,1138,200,Profit
Non-stick Frying Pan,P012,Home & Kitchen,409,591,4,2364,728,Profit
Air Purifier,P014,Clothing,51,103,3,309,156,Profit
Table Lamp,P015,Sports,439,581,5,2905,710,Profit
Yoga Mat,P016,Clothing,103,127,5,635,120,Profit
Tennis Racket,P017,Sports,155,215,4,860,240,Profit
Football Size 5,P018,Books,309,356,1,356,47,Profit
Mountain Bicycle,P019,Electronics,359,513,1,513,154,Profit
Camping Tent,P020,Sports,240,331,1,331,91,Profit
Fiction Novel A,P021,Clothing,451,482,2,964,62,Profit
Fiction Novel B,P022,Books,267,448,3,1344,543,Profit
Cookbook Deluxe,P023,Sports,93,145,1,145,52,Profit
Self-help Guide,P024,Electronics,211,278,1,278,67,Profit
Children's Story Book,P025,Electronics,251,421,1,421,170,Profit
Smartwatch Series 5,P026,Home & Kitchen,495,576,2,1152,162,Profit
Gaming Console Z,P027,Home & Kitchen,319,375,3,1125,168,Profit
Wireless Mouse,P028,Clothing,400,518,2,1036,236,Profit
Mechanical Keyboard,P029,Sports,353,544,2,1088,382,Profit
External Hard Drive,P030,Sports,320,443,3,1329,369,Profit
Winter Jacket,P031,Home & Kitchen,264,318,2,636,108,Profit
Formal Trousers,P032,Sports,301,421,4,1684,480,Profit
Casual Sneakers,P033,Sports,239,433,4,1732,776,Profit
Leather Belt,P034,Electronics,345,495,1,495,150,Profit
Sunglasses UV400,P035,Home & Kitchen,262,282,2,564,40,Profit
Microwave Oven,P036,Books,257,281,1,281,24,Profit
Refrigerator 300L,P037,Home & Kitchen,286,447,2,894,322,Profit
Mixer Grinder,P038,Books,387,509,3,1527,366,Profit
Electric Kettle,P039,Electronics,416,462,2,924,92,Profit
Induction Cooktop,P040,Clothing,102,258,4,1032,624,Profit
Cricket Bat,P041,Sports,329,363,3,1089,102,Profit
Badminton Racket,P042,Electronics,459,568,4,2272,436,Profit
Dumbbell Set,P043,Sports,266,327,1,327,61,Profit
Treadmill Pro,P044,Clothing,301,444,1,444,143,Profit
Jump Rope,P045,Clothing,237,435,1,435,198,Profit
Science Textbook,P046,Electronics,429,511,2,1022,164,Profit
History Encyclopedia,P047,Clothing,90,205,2,410,230,Profit
Math Workbook,P048,Books,206,277,5,1385,355,Profit
Language Learning Book,P049,Clothing,64,179,5,895,575,Profit
Travel Guide Europe,P050,Sports,350,501,2,1002,302,Profit
Smartphone X1,P001,Sports,141,225,2,450,168,Profit
Laptop Pro 15,P002,Books,416,524,3,1572,324,Profit
Bluetooth Speaker,P003,Home & Kitchen,493,583,2,1166,180,Profit
LED TV 42inch,P004,Books,477,505,1,505,28,Profit
Wireless Earbuds,P005,Books,313,420,2,840,214,Profit
Men's Cotton Shirt,P006,Clothing,480,628,5,3140,740,Profit
Women's Denim Jacket,P007,Home & Kitchen,84,239,5,1195,775,Profit
Running Shoes,P008,Home & Kitchen,255,337,3,1011,246,Profit
Sports Watch,P009,Home & Kitchen,130,288,4,1152,632,Profit
Backpack Travel,P010,Books,469,569,1,569,100,Profit
Ceramic Dinner Set,P011,Sports,99,254,3,762,465,Profit
Non-stick Frying Pan,P012,Home & Kitchen,409,591,4,2364,728,Profit
Vacuum Cleaner,P013,Books,437,619,3,1857,546,Profit
Air Purifier,P014,Clothing,51,103,3,309,156,Profit
Table Lamp,P015,Sports,439,581,3,1743,426,Profit
Yoga Mat,P016,Clothing,103,127,3,381,72,Profit
Tennis Racket,P017,Sports,155,215,5,1075,300,Profit
Football Size 5,P018,Books,309,356,3,1068,141,Profit
Mountain Bicycle,P019,Electronics,359,513,5,2565,770,Profit
Camping Tent,P020,Sports,240,331,2,662,182,Profit
Fiction Novel A,P021,Clothing,451,482,2,964,62,Profit
Fiction Novel B,P022,Books,267,448,5,2240,905,Profit
Cookbook Deluxe,P023,Sports,93,145,3,435,156,Profit
Self-help Guide,P024,Electronics,211,278,3,834,201,Profit
Children's Story Book,P025,Electronics,251,421,3,1263,510,Profit
Smartwatch Series 5,P026,Home & Kitchen,495,576,6,3456,486,Profit
Gaming Console Z,P027,Home & Kitchen,319,375,6,2250,336,Profit
Wireless Mouse,P028,Clothing,400,518,3,1554,354,Profit
Mechanical Keyboard,P029,Sports,353,544,5,2720,955,Profit
External Hard Drive,P030,Sports,320,443,2,886,246,Profit
Winter Jacket,P031,Home & Kitchen,264,318,4,1272,216,Profit
Formal Trousers,P032,Sports,301,421,3,1263,360,Profit
Casual Sneakers,P033,Sports,239,433,2,866,388,Profit
Leather Belt,P034,Electronics,345,495,4,1980,600,Profit
Sunglasses UV400,P035,Home & Kitchen,262,282,1,282,20,Profit
Microwave Oven,P036,Books,257,281,3,843,72,Profit
Refrigerator 300L,P037,Home & Kitchen,286,447,1,447,161,Profit
Mixer Grinder,P038,Books,387,509,3,1527,366,Profit
Electric Kettle,P039,Electronics,416,462,3,1386,138,Profit
Induction Cooktop,P040,Clothing,102,258,1,258,156,Profit
Cricket Bat,P041,Sports,329,363,2,726,68,Profit
Badminton Racket,P042,Electronics,459,568,4,2272,436,Profit
Dumbbell Set,P043,Sports,266,327,2,654,122,Profit
Treadmill Pro,P044,Clothing,301,444,5,2220,715,Profit
Science Textbook,P046,Electronics,429,511,3,1533,246,Profit
History Encyclopedia,P047,Clothing,90,205,2,410,230,Profit
Language Learning Book,P049,Clothing,64,179,2,358,230,Profit
Travel Guide Europe,P050,Sports,350,501,2,1002,302,Profit
Smartphone X1,P001,Sports,141,225,4,900,336,Profit
Laptop Pro 15,P002,Books,416,524,2,1048,216,Profit
Bluetooth Speaker,P003,Home & Kitchen,493,583,1,583,90,Profit
LED TV 42inch,P004,Books,477,505,1,505,28,Profit
Men's Cotton Shirt,P006,Clothing,480,628,2,1256,296,Profit
Women's Denim Jacket,P007,Home & Kitchen,84,239,4,956,620,Profit
Running Shoes,P008,Home & Kitchen,255,337,3,1011,246,Profit
Sports Watch,P009,Home & Kitchen,130,288,5,1440,790,Profit
Backpack Travel,P010,Books,469,569,5,2845,500,Profit
Ceramic Dinner Set,P011,Sports,99,254,3,762,465,Profit
Non-stick Frying Pan,P012,Home & Kitchen,409,591,4,2364,728,Profit
Vacuum Cleaner,P013,Books,437,619,1,619,182,Profit
Air Purifier,P014,Clothing,51,103,3,309,156,Profit
Table Lamp,P015,Sports,439,581,4,2324,568,Profit
Yoga Mat,P016,Clothing,103,127,4,508,96,Profit
Tennis Racket,P017,Sports,155,215,3,645,180,Profit
Football Size 5,P018,Books,309,356,2,712,94,Profit
Mountain Bicycle,P019,Electronics,359,513,2,1026,308,Profit
Camping Tent,P020,Sports,240,331,3,993,273,Profit
Fiction Novel A,P021,Clothing,451,482,3,1446,93,Profit
Fiction Novel B,P022,Books,267,448,4,1792,724,Profit
Self-help Guide,P024,Electronics,211,278,2,556,134,Profit
Children's Story Book,P025,Electronics,251,421,4,1684,680,Profit
Smartwatch Series 5,P026,Home & Kitchen,495,576,2,1152,162,Profit
Gaming Console Z,P027,Home & Kitchen,319,375,4,1500,224,Profit
Wireless Mouse,P028,Clothing,400,518,3,1554,354,Profit
Mechanical Keyboard,P029,Sports,353,544,2,1088,382,Profit
External Hard Drive,P030,Sports,320,443,3,1329,369,Profit
Winter Jacket,P031,Home & Kitchen,264,318,7,2226,378,Profit
Formal Trousers,P032,Sports,301,421,3,1263,360,Profit
Casual Sneakers,P033,Sports,239,433,5,2165,970,Profit
Leather Belt,P034,Electronics,345,495,8,3960,1200,Profit
Sunglasses UV400,P035,Home & Kitchen,262,282,1,282,20,Profit
Microwave Oven,P036,Books,257,281,2,562,48,Profit
Refrigerator 300L,P037,Home & Kitchen,286,447,2,894,322,Profit
Mixer Grinder,P038,Books,387,509,1,509,122,Profit
Electric Kettle,P039,Electronics,416,462,3,1386,138,Profit
Induction Cooktop,P040,Clothing,102,258,4,1032,624,Profit
Cricket Bat,P041,Sports,329,363,1,363,34,Profit
Badminton Racket,P042,Electronics,459,568,7,3976,763,Profit
Dumbbell Set,P043,Sports,266,327,6,1962,366,Profit
Treadmill Pro,P044,Clothing,301,444,2,888,286,Profit
Jump Rope,P045,Clothing,237,435,2,870,396,Profit
Science Textbook,P046,Electronics,429,511,1,511,82,Profit
Math Workbook,P048,Books,206,277,4,1108,284,Profit
Language Learning Book,P049,Clothing,64,179,3,537,345,Profit
Travel Guide Europe,P050,Sports,350,501,4,2004,604,Profit
Smartphone X1,P001,Sports,141,225,5,1125,420,Profit
Laptop Pro 15,P002,Books,416,524,1,524,108,Profit
Bluetooth Speaker,P003,Home & Kitchen,493,583,1,583,90,Profit
LED TV 42inch,P004,Books,477,505,2,1010,56,Profit
Wireless Earbuds,P005,Books,313,420,6,2520,642,Profit
Men's Cotton Shirt,P006,Clothing,480,628,3,1884,444,Profit
Women's Denim Jacket,P007,Home & Kitchen,84,239,3,717,465,Profit
Running Shoes,P008,Home & Kitchen,255,337,2,674,164,Profit
Sports Watch,P009,Home & Kitchen,130,288,6,1728,948,Profit
Backpack Travel,P010,Books,469,569,1,569,100,Profit
Ceramic Dinner Set,P011,Sports,99,254,3,762,465,Profit
Non-stick Frying Pan,P012,Home & Kitchen,409,591,1,591,182,Profit
Vacuum Cleaner,P013,Books,437,619,2,1238,364,Profit
Air Purifier,P014,Clothing,51,103,4,412,208,Profit
Table Lamp,P015,Sports,439,581,5,2905,710,Profit
Yoga Mat,P016,Clothing,103,127,8,1016,192,Profit
Tennis Racket,P017,Sports,155,215,2,430,120,Profit
Football Size 5,P018,Books,309,356,2,712,94,Profit
Mountain Bicycle,P019,Electronics,359,513,4,2052,616,Profit
Fiction Novel A,P021,Clothing,451,482,4,1928,124,Profit
Fiction Novel B,P022,Books,267,448,3,1344,543,Profit
Cookbook Deluxe,P023,Sports,93,145,6,870,312,Profit
Self-help Guide,P024,Electronics,211,278,2,556,134,Profit
Children's Story Book,P025,Electronics,251,421,2,842,340,Profit
Smartwatch Series 5,P026,Home & Kitchen,495,576,3,1728,243,Profit
Gaming Console Z,P027,Home & Kitchen,319,375,6,2250,336,Profit
Mechanical Keyboard,P029,Sports,353,544,4,2176,764,Profit
External Hard Drive,P030,Sports,320,443,4,1772,492,Profit
Winter Jacket,P031,Home & Kitchen,264,318,3,954,162,Profit
Formal Trousers,P032,Sports,301,421,4,1684,480,Profit
Casual Sneakers,P033,Sports,239,433,4,1732,776,Profit
Leather Belt,P034,Electronics,345,495,4,1980,600,Profit
Sunglasses UV400,P035,Home & Kitchen,262,282,1,282,20,Profit
Microwave Oven,P036,Books,257,281,5,1405,120,Profit
Refrigerator 300L,P037,Home & Kitchen,286,447,6,2682,966,Profit
Electric Kettle,P039,Electronics,416,462,4,1848,184,Profit
Induction Cooktop,P040,Clothing,102,258,2,516,312,Profit
Cricket Bat,P041,Sports,329,363,2,726,68,Profit
Badminton Racket,P042,Electronics,459,568,3,1704,327,Profit
Dumbbell Set,P043,Sports,266,327,1,327,61,Profit
Treadmill Pro,P044,Clothing,301,444,1,444,143,Profit
Jump Rope,P045,Clothing,237,435,5,2175,990,Profit
History Encyclopedia,P047,Clothing,90,205,2,410,230,Profit
Math Workbook,P048,Books,206,277,3,831,213,Profit
Language Learning Book,P049,Clothing,64,179,2,358,230,Profit
Travel Guide Europe,P050,Sports,350,501,2,1002,302,Profit
Smartphone X1,P001,Sports,141,225,1,225,84,Profit
Laptop Pro 15,P002,Books,416,524,1,524,108,Profit
Bluetooth Speaker,P003,Home & Kitchen,493,583,3,1749,270,Profit
LED TV 42inch,P004,Books,477,505,1,505,28,Profit
Wireless Earbuds,P005,Books,313,420,2,840,214,Profit
Women's Denim Jacket,P007,Home & Kitchen,84,239,1,239,155,Profit
Running Shoes,P008,Home & Kitchen,255,337,7,2359,574,Profit
Sports Watch,P009,Home & Kitchen,130,288,6,1728,948,Profit
Backpack Travel,P010,Books,469,569,1,569,100,Profit
Ceramic Dinner Set,P011,Sports,99,254,1,254,155,Profit
Non-stick Frying Pan,P012,Home & Kitchen,409,591,4,2364,728,Profit
Vacuum Cleaner,P013,Books,437,619,5,3095,910,Profit
Air Purifier,P014,Clothing,51,103,5,515,260,Profit
Yoga Mat,P016,Clothing,103,127,5,635,120,Profit
Tennis Racket,P017,Sports,155,215,3,645,180,Profit
Football Size 5,P018,Books,309,356,7,2492,329,Profit
Mountain Bicycle,P019,Electronics,359,513,3,1539,462,Profit
Camping Tent,P020,Sports,240,331,3,993,273,Profit
Fiction Novel A,P021,Clothing,451,482,3,1446,93,Profit
Fiction Novel B,P022,Books,267,448,4,1792,724,Profit
Cookbook Deluxe,P023,Sports,93,145,4,580,208,Profit
Self-help Guide,P024,Electronics,211,278,3,834,201,Profit
Children's Story Book,P025,Electronics,251,421,3,1263,510,Profit
Smartwatch Series 5,P026,Home & Kitchen,495,576,3,1728,243,Profit
Gaming Console Z,P027,Home & Kitchen,319,375,2,750,112,Profit
Wireless Mouse,P028,Clothing,400,518,4,2072,472,Profit
Mechanical Keyboard,P029,Sports,353,544,1,544,191,Profit
Winter Jacket,P031,Home & Kitchen,264,318,7,2226,378,Profit
Formal Trousers,P032,Sports,301,421,1,421,120,Profit
Casual Sneakers,P033,Sports,239,433,1,433,194,Profit
Leather Belt,P034,Electronics,345,495,1,495,150,Profit
Sunglasses UV400,P035,Home & Kitchen,262,282,3,846,60,Profit
Microwave Oven,P036,Books,257,281,1,281,24,Profit
Refrigerator 300L,P037,Home & Kitchen,286,447,3,1341,483,Profit
Mixer Grinder,P038,Books,387,509,6,3054,732,Profit
Electric Kettle,P039,Electronics,416,462,1,462,46,Profit
Induction Cooktop,P040,Clothing,102,258,2,516,312,Profit
Cricket Bat,P041,Sports,329,363,3,1089,102,Profit
Badminton Racket,P042,Electronics,459,568,3,1704,327,Profit
Dumbbell Set,P043,Sports,266,327,7,2289,427,Profit
Treadmill Pro,P044,Clothing,301,444,5,2220,715,Profit
Jump Rope,P045,Clothing,237,435,2,870,396,Profit
Science Textbook,P046,Electronics,429,511,1,511,82,Profit
History Encyclopedia,P047,Clothing,90,205,7,1435,805,Profit
Math Workbook,P048,Books,206,277,5,1385,355,Profit
Language Learning Book,P049,Clothing,64,179,3,537,345,Profit
Travel Guide Europe,P050,Sports,350,501,2,1002,302,Profit
Smartphone X1,P001,Sports,141,225,3,675,252,Profit
Laptop Pro 15,P002,Books,416,524,2,1048,216,Profit
Bluetooth Speaker,P003,Home & Kitchen,493,583,4,2332,360,Profit
LED TV 42inch,P004,Books,477,505,3,1515,84,Profit
Wireless Earbuds,P005,Books,313,420,3,1260,321,Profit
Men's Cotton Shirt,P006,Clothing,480,628,6,3768,888,Profit
Women's Denim Jacket,P007,Home & Kitchen,84,239,1,239,155,Profit
Running Shoes,P008,Home & Kitchen,255,337,4,1348,328,Profit
Sports Watch,P009,Home & Kitchen,130,288,2,576,316,Profit
Backpack Travel,P010,Books,469,569,2,1138,200,Profit
Ceramic Dinner Set,P011,Sports,99,254,3,762,465,Profit
Non-stick Frying Pan,P012,Home & Kitchen,409,591,3,1773,546,Profit
Vacuum Cleaner,P013,Books,437,619,1,619,182,Profit
Air Purifier,P014,Clothing,51,103,3,309,156,Profit
Table Lamp,P015,Sports,439,581,2,1162,284,Profit
Yoga Mat,P016,Clothing,103,127,4,508,96,Profit
Tennis Racket,P017,Sports,155,215,6,1290,360,Profit
Football Size 5,P018,Books,309,356,5,1780,235,Profit
Mountain Bicycle,P019,Electronics,359,513,5,2565,770,Profit
Camping Tent,P020,Sports,240,331,3,993,273,Profit
Fiction Novel A,P021,Clothing,451,482,3,1446,93,Profit
Cookbook Deluxe,P023,Sports,93,145,3,435,156,Profit
Self-help Guide,P024,Electronics,211,278,4,1112,268,Profit
Children's Story Book,P025,Electronics,251,421,6,2526,1020,Profit
Smartwatch Series 5,P026,Home & Kitchen,495,576,2,1152,162,Profit
Gaming Console Z,P027,Home & Kitchen,319,375,1,375,56,Profit
Wireless Mouse,P028,Clothing,400,518,2,1036,236,Profit
Mechanical Keyboard,P029,Sports,353,544,2,1088,382,Profit
External Hard Drive,P030,Sports,320,443,1,443,123,Profit
Winter Jacket,P031,Home & Kitchen,264,318,2,636,108,Profit
Formal Trousers,P032,Sports,301,421,5,2105,600,Profit
Casual Sneakers,P033,Sports,239,433,6,2598,1164,Profit
Leather Belt,P034,Electronics,345,495,4,1980,600,Profit
Sunglasses UV400,P035,Home & Kitchen,262,282,2,564,40,Profit
Microwave Oven,P036,Books,257,281,5,1405,120,Profit
Refrigerator 300L,P037,Home & Kitchen,286,447,4,1788,644,Profit
Mixer Grinder,P038,Books,387,509,3,1527,366,Profit
Electric Kettle,P039,Electronics,416,462,4,1848,184,Profit
Cricket Bat,P041,Sports,329,363,2,726,68,Profit
Badminton Racket,P042,Electronics,459,568,2,1136,218,Profit
Dumbbell Set,P043,Sports,266,327,3,981,183,Profit
Treadmill Pro,P044,Clothing,301,444,5,2220,715,Profit
Jump Rope,P045,Clothing,237,435,3,1305,594,Profit
Science Textbook,P046,Electronics,429,511,5,2555,410,Profit
History Encyclopedia,P047,Clothing,90,205,2,410,230,Profit
Math Workbook,P048,Books,206,277,4,1108,284,Profit
Language Learning Book,P049,Clothing,64,179,5,895,575,Profit
Travel Guide Europe,P050,Sports,350,501,2,1002,302,Profit
Smartphone X1,P001,Sports,141,225,1,225,84,Profit
Bluetooth Speaker,P003,Home & Kitchen,493,583,4,2332,360,Profit
LED TV 42inch,P004,Books,477,505,3,1515,84,Profit
Wireless Earbuds,P005,Books,313,420,4,1680,428,Profit
Men's Cotton Shirt,P006,Clothing,480,628,1,628,148,Profit
Women's Denim Jacket,P007,Home & Kitchen,84,239,1,239,155,Profit
Running Shoes,P008,Home & Kitchen,255,337,2,674,164,Profit
Sports Watch,P009,Home & Kitchen,130,288,2,576,316,Profit
Backpack Travel,P010,Books,469,569,1,569,100,Profit
Ceramic Dinner Set,P011,Sports,99,254,2,508,310,Profit
Non-stick Frying Pan,P012,Home & Kitchen,409,591,5,2955,910,Profit
Vacuum Cleaner,P013,Books,437,619,2,1238,364,Profit
Air Purifier,P014,Clothing,51,103,3,309,156,Profit
Table Lamp,P015,Sports,439,581,4,2324,568,Profit
Yoga Mat,P016,Clothing,103,127,2,254,48,Profit
Tennis Racket,P017,Sports,155,215,2,430,120,Profit
Football Size 5,P018,Books,309,356,2,712,94,Profit
Mountain Bicycle,P019,Electronics,359,513,5,2565,770,Profit
Camping Tent,P020,Sports,240,331,3,993,273,Profit
Fiction Novel A,P021,Clothing,451,482,2,964,62,Profit
Fiction Novel B,P022,Books,267,448,4,1792,724,Profit
Cookbook Deluxe,P023,Sports,93,145,7,1015,364,Profit
Self-help Guide,P024,Electronics,211,278,1,278,67,Profit
Children's Story Book,P025,Electronics,251,421,7,2947,1190,Profit
Smartwatch Series 5,P026,Home & Kitchen,495,576,3,1728,243,Profit
Gaming Console Z,P027,Home & Kitchen,319,375,1,375,56,Profit
Wireless Mouse,P028,Clothing,400,518,2,1036,236,Profit
Mechanical Keyboard,P029,Sports,353,544,1,544,191,Profit
External Hard Drive,P030,Sports,320,443,4,1772,492,Profit
Winter Jacket,P031,Home & Kitchen,264,318,3,954,162,Profit
Formal Trousers,P032,Sports,301,421,2,842,240,Profit
Casual Sneakers,P033,Sports,239,433,1,433,194,Profit
Leather Belt,P034,Electronics,345,495,2,990,300,Profit
Sunglasses UV400,P035,Home & Kitchen,262,282,3,846,60,Profit
Microwave Oven,P036,Books,257,281,3,843,72,Profit
Refrigerator 300L,P037,Home & Kitchen,286,447,1,447,161,Profit
Mixer Grinder,P038,Books,387,509,7,3563,854,Profit
Electric Kettle,P039,Electronics,416,462,2,924,92,Profit
Induction Cooktop,P040,Clothing,102,258,3,774,468,Profit
Cricket Bat,P041,Sports,329,363,4,1452,136,Profit
Badminton Racket,P042,Electronics,459,568,3,1704,327,Profit
Dumbbell Set,P043,Sports,266,327,6,1962,366,Profit
Treadmill Pro,P044,Clothing,301,444,5,2220,715,Profit
Jump Rope,P045,Clothing,237,435,2,870,396,Profit
Science Textbook,P046,Electronics,429,511,1,511,82,Profit
History Encyclopedia,P047,Clothing,90,205,5,1025,575,Profit
Math Workbook,P048,Books,206,277,3,831,213,Profit
Language Learning Book,P049,Clothing,64,179,5,895,575,Profit
Travel Guide Europe,P050,Sports,350,501,1,501,151,Profit
Smartphone X1,P001,Sports,141,225,3,675,252,Profit
Laptop Pro 15,P002,Books,416,524,3,1572,324,Profit
Bluetooth Speaker,P003,Home & Kitchen,493,583,3,1749,270,Profit
LED TV 42inch,P004,Books,477,505,2,1010,56,Profit
Wireless Earbuds,P005,Books,313,420,1,420,107,Profit
Men's Cotton Shirt,P006,Clothing,480,628,4,2512,592,Profit
Women's Denim Jacket,P007,Home & Kitchen,84,239,1,239,155,Profit
Running Shoes,P008,Home & Kitchen,255,337,7,2359,574,Profit
Sports Watch,P009,Home & Kitchen,130,288,2,576,316,Profit
Backpack Travel,P010,Books,469,569,3,1707,300,Profit
Ceramic Dinner Set,P011,Sports,99,254,3,762,465,Profit
Non-stick Frying Pan,P012,Home & Kitchen,409,591,6,3546,1092,Profit
Vacuum Cleaner,P013,Books,437,619,2,1238,364,Profit
Air Purifier,P014,Clothing,51,103,1,103,52,Profit
Table Lamp,P015,Sports,439,581,5,2905,710,Profit
